2018-09-02 17:18:22 INFO  TestBase:146 - navigating to :-https://in.puma.com/
2018-09-02 17:18:34 INFO  TC_Purchase_Of_RunningShoes:47 - ============= Strting tcVerifyPageTitle===========
2018-09-02 17:18:34 INFO  TC_Purchase_Of_RunningShoes:52 - ============= Finished tcVerifyPageTitle===========
2018-09-02 17:18:37 INFO  TestBase:298 - browser closed
2018-09-02 17:25:39 INFO  TestBase:146 - navigating to :-https://in.puma.com/
2018-09-02 17:25:59 INFO  TC_Purchase_Of_RunningShoes:47 - ============= Strting tcVerifyPageTitle===========
2018-09-02 17:25:59 INFO  TC_Purchase_Of_RunningShoes:52 - ============= Finished tcVerifyPageTitle===========
2018-09-02 17:26:03 INFO  TC_Purchase_Of_RunningShoes:67 - ============= Strting login to the puma application===========
2018-09-02 17:26:06 INFO  TestBase:261 - Clicked on sign in button, Login window appeared and object is:-[[ChromeDriver: chrome on XP (5bc531653bb5c16838d447919834a959)] -> xpath: //div[@class='utility-menu']/ul/li[4]/a]
2018-09-02 17:26:09 INFO  TestBase:261 - Entered user name:-arvindbose16@gmail.com and object is [[ChromeDriver: chrome on XP (5bc531653bb5c16838d447919834a959)] -> xpath: //input[@name='socialogin_email']]
2018-09-02 17:26:10 INFO  TestBase:261 - Entered password:-Arvind@012 and object is [[ChromeDriver: chrome on XP (5bc531653bb5c16838d447919834a959)] -> xpath: //input[@name='socialogin_password']]
2018-09-02 17:26:11 INFO  TestBase:261 - cliked on login button and object is:-[[ChromeDriver: chrome on XP (5bc531653bb5c16838d447919834a959)] -> xpath: //button[@name='send']]
2018-09-02 17:26:14 INFO  TestBase:261 - Home button is dispalyed and object is:-[[ChromeDriver: chrome on XP (5bc531653bb5c16838d447919834a959)] -> xpath: //div[@class='skip-links-inner']/a[1]]
2018-09-02 17:26:14 INFO  TC_Purchase_Of_RunningShoes:74 - ============= Finished login to the puma application===========
2018-09-02 17:26:17 INFO  TestBase:298 - browser closed
2018-09-02 17:33:22 INFO  TestBase:146 - navigating to :-https://in.puma.com/
2018-09-02 17:33:34 INFO  TC_Purchase_Of_RunningShoes:47 - ============= Strting tcVerifyPageTitle===========
2018-09-02 17:33:34 INFO  TC_Purchase_Of_RunningShoes:52 - ============= Finished tcVerifyPageTitle===========
2018-09-02 17:33:37 INFO  TC_Purchase_Of_RunningShoes:67 - ============= Strting login to the puma application===========
2018-09-02 17:33:39 INFO  TestBase:261 - Clicked on sign in button, Login window appeared and object is:-[[ChromeDriver: chrome on XP (0349f77f7159276ea57d1b25b6624d55)] -> xpath: //div[@class='utility-menu']/ul/li[4]/a]
2018-09-02 17:33:42 INFO  TestBase:261 - Entered user name:-arvindbose16@gmail.com and object is [[ChromeDriver: chrome on XP (0349f77f7159276ea57d1b25b6624d55)] -> xpath: //input[@name='socialogin_email']]
2018-09-02 17:33:43 INFO  TestBase:261 - Entered password:-Arvind@012 and object is [[ChromeDriver: chrome on XP (0349f77f7159276ea57d1b25b6624d55)] -> xpath: //input[@name='socialogin_password']]
